customer_customerNumber,customer_customerName,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_status,customerorder_orderNumber,customerorder_orderDate,customerorder_requiredDate,customerorder_dispatchDate,customerorder_orderStatusID,customerorder_customerNumber,customerfeedback_customerfeedbackID,customerfeedback_foodquality,customerfeedback_servicequality,customerfeedback_pricetovalue,customerfeedback_ambiance,customerfeedback_comment,orderdetail_productCode,orderdetail_quantityOrdered,orderdetail_priceEach,product_productName,product_productDescription,product_quantityInStock,product_costOfProduction,product_sellingPrice,productcategory_productCategoryID,productcategory_categoryName,productcategory_categoryDescription,orderstatus_orderStatusID,orderstatus_status,branch_branchCode,branch_phone,branch_addressLine1,branch_addressLine2,branch_postalCode,branch_county,branch_subCounty
562,Jeanne Ibrahim,Jeanne,Ibrahim,0771037636,336 Riverside Dr,Apt 34,36808,Kisumu,Likoni,1,3982,2024-10-17 20:04:21,2024-10-19 11:36:25,,2,562,4030,3,4,4,3,Amazing experience overall.,P022,5,60.00,Mbaazi,Pigeon peas cooked in coconut milk.,70,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
651,Otieno Mutua,Otieno,Mutua,0760058920,64 Ngong Rd,Apt 56,12202,Kitui,Changamwe,0,4053,2021-04-18 20:47:21,2021-04-23 02:39:08,2021-04-18 22:26:19,2,651,4646,4,4,4,4,Too many flies around.,P089,1,70.00,Waakye,"A Ghanaian dish of rice and beans cooked with millet leaves, served with various sides.",80,30.00,70.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
651,Otieno Mutua,Otieno,Mutua,0760058920,64 Ngong Rd,Apt 56,12202,Kitui,Changamwe,0,4053,2021-04-18 20:47:21,2021-04-23 02:39:08,2021-04-18 22:26:19,2,651,4646,4,4,4,4,Too many flies around.,P067,7,70.00,Wali wa Nazi na Maharagwe,Coconut rice served with beans.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
651,Otieno Mutua,Otieno,Mutua,0760058920,64 Ngong Rd,Apt 56,12202,Kitui,Changamwe,0,4053,2021-04-18 20:47:21,2021-04-23 02:39:08,2021-04-18 22:26:19,2,651,4646,4,4,4,4,Too many flies around.,P090,8,50.00,Akara,"Deep-fried bean cakes made from black-eyed peas, onions, and spices.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
597,Wanjiku Mohammed,Wanjiku,Mohammed,0711750567,733 State House Rd,Apt 23,38799,Kisumu,Changamwe,0,4095,2021-09-21 11:28:02,2021-09-21 16:07:04,,4,597,4259,2,3,2,2,Waiter forgot our order.,P073,2,400.00,Kitfo,Minced raw beef seasoned with spices and clarified butter.,60,200.00,400.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
597,Wanjiku Mohammed,Wanjiku,Mohammed,0711750567,733 State House Rd,Apt 23,38799,Kisumu,Changamwe,0,4095,2021-09-21 11:28:02,2021-09-21 16:07:04,,4,597,4259,2,3,2,2,Waiter forgot our order.,P027,2,200.00,Nyama Stew,"Beef stew cooked with potatoes, carrots, and peas.",60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
323,[Business] Hilton Residences,Felicite,Omar,0753219190,9 Moi Ave,Apt 30,72865,Nakuru,Eldoret East,0,4109,2021-05-19 10:18:59,2021-05-21 02:59:21,2021-05-23 12:08:46,1,323,2341,2,2,2,2,The table was sticky.,P074,7,70.00,Shiro,Chickpea stew seasoned with berbere and other spices.,80,30.00,70.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
323,[Business] Hilton Residences,Felicite,Omar,0753219190,9 Moi Ave,Apt 30,72865,Nakuru,Eldoret East,0,4109,2021-05-19 10:18:59,2021-05-21 02:59:21,2021-05-23 12:08:46,1,323,2341,2,2,2,2,The table was sticky.,P034,8,300.00,Kuku Fry,"Fried chicken, marinated with spices.",50,150.00,300.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
93,[Business] Hemingways Inn,Mutiso,Omar,0708739932,894 Kenyatta Ave,Apt 53,87962,Kiambu,Subukia,1,4148,2021-07-25 20:00:39,2021-07-30 06:29:06,2021-07-29 01:57:03,1,93,681,5,5,5,5,Very comfortable seating.,P076,3,60.00,Misir Wat,Spicy lentil stew made with berbere spice mix.,90,30.00,60.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
93,[Business] Hemingways Inn,Mutiso,Omar,0708739932,894 Kenyatta Ave,Apt 53,87962,Kiambu,Subukia,1,4148,2021-07-25 20:00:39,2021-07-30 06:29:06,2021-07-29 01:57:03,1,93,681,5,5,5,5,Very comfortable seating.,P028,8,150.00,Matumbo,"Tripe stew cooked with onions, tomatoes, and spices.",50,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
93,[Business] Hemingways Inn,Mutiso,Omar,0708739932,894 Kenyatta Ave,Apt 53,87962,Kiambu,Subukia,1,4148,2021-07-25 20:00:39,2021-07-30 06:29:06,2021-07-29 01:57:03,1,93,681,5,5,5,5,Very comfortable seating.,P057,1,200.00,Kuku na Matoke,Chicken served with plantains.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
387,[Business] Hilton Residences,Jeanne,Muthoni,0733341069,51 Kilimani Rd,Apt 78,62044,Marsabit,Nyando,0,4208,2024-10-03 13:38:50,2024-10-03 21:56:38,2024-10-05 06:49:42,2,387,2820,2,1,1,2,Food was too salty.,P002,4,20.00,Sukuma Wiki,Collard greens saut̩ed with onions and tomatoes.,100,10.00,20.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
387,[Business] Hilton Residences,Jeanne,Muthoni,0733341069,51 Kilimani Rd,Apt 78,62044,Marsabit,Nyando,0,4208,2024-10-03 13:38:50,2024-10-03 21:56:38,2024-10-05 06:49:42,2,387,2820,2,1,1,2,Food was too salty.,P010,8,20.00,Mandazi,"Fried dough snack, similar to a doughnut.",100,5.00,20.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
551,Michelle Ochieng,Michelle,Ochieng,0769843947,458 Karen Rd,Apt 25,63426,Machakos,Dagoretti,0,4210,2023-11-01 13:02:49,2023-11-05 03:43:43,2023-11-06 14:19:48,5,551,3956,2,3,2,3,The restroom was not clean.,P029,5,50.00,Sukuma na Ugali,Collard greens served with ugali.,100,20.00,50.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
551,Michelle Ochieng,Michelle,Ochieng,0769843947,458 Karen Rd,Apt 25,63426,Machakos,Dagoretti,0,4210,2023-11-01 13:02:49,2023-11-05 03:43:43,2023-11-06 14:19:48,5,551,3956,2,3,2,3,The restroom was not clean.,P039,4,200.00,Kuku na Wali,Chicken served with rice.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
551,Michelle Ochieng,Michelle,Ochieng,0769843947,458 Karen Rd,Apt 25,63426,Machakos,Dagoretti,0,4210,2023-11-01 13:02:49,2023-11-05 03:43:43,2023-11-06 14:19:48,5,551,3956,2,3,2,3,The restroom was not clean.,P061,7,70.00,Wali wa Nazi na Samaki,Coconut rice served with fish.,80,30.00,70.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
129,[Business] Hilton Haven,Jacques,Ochieng,0784776916,574 Riverside Dr,Apt 60,41093,Baringo,Subukia,1,4276,2023-12-14 13:53:16,2023-12-19 09:14:50,2023-12-16 21:31:55,2,129,941,5,5,5,5,Clean and tidy.,P041,1,70.00,Matoke na Nyama,Plantains cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
129,[Business] Hilton Haven,Jacques,Ochieng,0784776916,574 Riverside Dr,Apt 60,41093,Baringo,Subukia,1,4276,2023-12-14 13:53:16,2023-12-19 09:14:50,2023-12-16 21:31:55,2,129,941,5,5,5,5,Clean and tidy.,P064,7,200.00,Nyama na Maharagwe,Beef served with beans.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
129,[Business] Hilton Haven,Jacques,Ochieng,0784776916,574 Riverside Dr,Apt 60,41093,Baringo,Subukia,1,4276,2023-12-14 13:53:16,2023-12-19 09:14:50,2023-12-16 21:31:55,2,129,941,5,5,5,5,Clean and tidy.,P041,3,70.00,Matoke na Nyama,Plantains cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
253,[Business] Hemingways Retreat,Wambui,Lumumba,0777101552,969 Mbagathi Way,Apt 23,33519,Mandera,Nakuru Town,1,4278,2021-06-26 21:19:52,2021-06-27 11:58:42,2021-07-02 16:13:28,5,253,1834,4,4,4,4,Food was delicious.,P006,4,200.00,Pilau,"Spiced rice dish cooked with meat, typically beef or chicken.",70,100.00,200.00,4,Rice Dishes,"Dishes that use rice as the main ingredient, often spiced or paired with other accompaniments.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
253,[Business] Hemingways Retreat,Wambui,Lumumba,0777101552,969 Mbagathi Way,Apt 23,33519,Mandera,Nakuru Town,1,4278,2021-06-26 21:19:52,2021-06-27 11:58:42,2021-07-02 16:13:28,5,253,1834,4,4,4,4,Food was delicious.,P060,4,60.00,Maharagwe na Matoke,Beans served with plantains.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
253,[Business] Hemingways Retreat,Wambui,Lumumba,0777101552,969 Mbagathi Way,Apt 23,33519,Mandera,Nakuru Town,1,4278,2021-06-26 21:19:52,2021-06-27 11:58:42,2021-07-02 16:13:28,5,253,1834,4,4,4,4,Food was delicious.,P042,8,60.00,Maharagwe na Wali,Beans served with rice.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",5,Cancelled,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
108,Pierrette Hassan,Pierrette,Hassan,0785967742,817 Langata Rd,Apt 42,75640,Mandera,Dagoretti,1,4322,2021-07-24 17:42:41,2021-07-28 18:00:48,2021-07-29 23:38:40,1,108,789,3,4,4,3,Food arrived hot and fresh.,P009,6,50.00,Samosa,Deep-fried pastry filled with spiced meat or vegetables.,100,20.00,50.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
137,Pauline Zuma,Pauline,Zuma,0793034652,871 Kileleshwa Rd,Apt 57,75765,Eldoret,Turbo,1,4332,2022-03-02 02:58:20,2022-03-06 14:46:48,,4,137,999,3,3,2,3,Highly recommend this place.,P082,2,80.00,Egusi Soup,"A Nigerian soup made with melon seeds, leafy vegetables, and meat or fish.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
568,Jean Mugabe,Jean,Mugabe,0736145412,406 Kimathi St,Apt 72,64442,Garissa,Kisumu East,0,4362,2023-07-20 10:07:50,2023-07-21 21:05:22,2023-07-21 10:58:24,4,568,4067,1,1,1,1,Order was incorrect.,P100,8,50.00,Vetkoek,"Deep-fried dough balls, often filled with minced meat or served with syrup.",90,20.00,50.00,8,Sweet Snacks/Desserts,"Sweet dishes or snacks, often fried or baked, served as a dessert or treat.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
101,Wambui Mugabe,Wambui,Mugabe,0716654114,991 State House Rd,Apt 23,48264,Meru,Nyali,0,4379,2023-12-14 20:59:20,2023-12-18 23:14:29,2023-12-16 23:10:30,4,101,732,2,3,3,3,The salad was wilted.,P012,5,350.00,Tilapia Fry,"Fried whole tilapia fish, seasoned with spices.",50,200.00,350.00,7,Fish Dishes,"Dishes prepared using fish as the main ingredient, either fried, grilled, or cooked in stews.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
101,Wambui Mugabe,Wambui,Mugabe,0716654114,991 State House Rd,Apt 23,48264,Meru,Nyali,0,4379,2023-12-14 20:59:20,2023-12-18 23:14:29,2023-12-16 23:10:30,4,101,732,2,3,3,3,The salad was wilted.,P058,8,200.00,Nyama na Matoke,Beef served with plantains.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
101,Wambui Mugabe,Wambui,Mugabe,0716654114,991 State House Rd,Apt 23,48264,Meru,Nyali,0,4379,2023-12-14 20:59:20,2023-12-18 23:14:29,2023-12-16 23:10:30,4,101,732,2,3,3,3,The salad was wilted.,P048,5,60.00,Maharagwe na Chapati,Beans served with chapati.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
642,Kiptoo Mandela,Kiptoo,Mandela,0782231436,594 Parklands Rd,Apt 20,53874,Wajir,Kisumu East,0,4408,2024-11-03 20:50:50,2024-11-04 20:39:11,,3,642,4584,2,2,3,2,Ambiance was dull.,P076,4,60.00,Misir Wat,Spicy lentil stew made with berbere spice mix.,90,30.00,60.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
642,Kiptoo Mandela,Kiptoo,Mandela,0782231436,594 Parklands Rd,Apt 20,53874,Wajir,Kisumu East,0,4408,2024-11-03 20:50:50,2024-11-04 20:39:11,,3,642,4584,2,2,3,2,Ambiance was dull.,P086,4,70.00,Banku,"A fermented corn and cassava dough, cooked into a smooth, starchy side dish.",80,30.00,70.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
766,Jean Munzala,Jean,Munzala,0786532967,337 Riverside Dr,Apt 78,81198,Kiambu,Gilgil,1,4428,2025-03-20 02:08:26,2025-03-22 09:55:20,2025-03-24 23:56:49,4,766,5467,3,3,4,4,Very accommodating to dietary needs.,P074,2,70.00,Shiro,Chickpea stew seasoned with berbere and other spices.,80,30.00,70.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",4,Delivered,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
432,Njeri Mandela,Njeri,Mandela,0705675718,139 Westlands Rd,Apt 51,36167,Isiolo,Moiben,0,4455,2021-11-01 05:54:58,2021-11-04 00:45:52,2021-11-05 20:12:26,1,432,3146,2,2,1,2,Waiter forgot our order.,P032,8,350.00,Mbuzi Choma,"Grilled goat meat, seasoned with salt and spices.",50,200.00,350.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
432,Njeri Mandela,Njeri,Mandela,0705675718,139 Westlands Rd,Apt 51,36167,Isiolo,Moiben,0,4455,2021-11-01 05:54:58,2021-11-04 00:45:52,2021-11-05 20:12:26,1,432,3146,2,2,1,2,Waiter forgot our order.,P057,4,200.00,Kuku na Matoke,Chicken served with plantains.,70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
432,Njeri Mandela,Njeri,Mandela,0705675718,139 Westlands Rd,Apt 51,36167,Isiolo,Moiben,0,4455,2021-11-01 05:54:58,2021-11-04 00:45:52,2021-11-05 20:12:26,1,432,3146,2,2,1,2,Waiter forgot our order.,P058,5,200.00,Nyama na Matoke,Beef served with plantains.,60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
462,Michelle Kabongo,Michelle,Kabongo,0712748500,994 Haile Selassie Ave,Apt 89,83372,Muranga,Kesses,1,4458,2023-06-15 14:36:05,2023-06-17 06:48:18,2023-06-17 03:10:23,3,462,3362,3,2,2,4,Food arrived hot and fresh.,P083,5,50.00,Fufu,"A starchy side dish made from cassava, yams, or plantains, pounded into a dough-like consistency.",100,20.00,50.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
462,Michelle Kabongo,Michelle,Kabongo,0712748500,994 Haile Selassie Ave,Apt 89,83372,Muranga,Kesses,1,4458,2023-06-15 14:36:05,2023-06-17 06:48:18,2023-06-17 03:10:23,3,462,3362,3,2,2,4,Food arrived hot and fresh.,P030,8,200.00,Kuku Stew,"Chicken stew cooked with potatoes, carrots, and peas.",60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
462,Michelle Kabongo,Michelle,Kabongo,0712748500,994 Haile Selassie Ave,Apt 89,83372,Muranga,Kesses,1,4458,2023-06-15 14:36:05,2023-06-17 06:48:18,2023-06-17 03:10:23,3,462,3362,3,2,2,4,Food arrived hot and fresh.,P019,8,30.00,Viazi Karai,Potato slices coated in a spiced batter and deep-fried.,100,10.00,30.00,9,Fried Dishes,"Dishes that are deep-fried, often using batter or dough, and served as snacks or accompaniments.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
371,[Business] Tamarind Haven,Patrick,Kiplagat,0727143026,739 Riverside Dr,Apt 16,36300,Mandera,Moiben,1,4502,2021-07-05 11:16:22,2021-07-07 12:26:54,2021-07-07 09:27:18,2,371,2694,5,4,5,4,Staff were very friendly.,P015,8,60.00,Maharagwe,Stewed beans cooked with coconut milk and spices.,90,30.00,60.00,5,Legume-Based Dishes,"Dishes featuring beans, lentils, or other legumes, cooked with spices or coconut milk.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
371,[Business] Tamarind Haven,Patrick,Kiplagat,0727143026,739 Riverside Dr,Apt 16,36300,Mandera,Moiben,1,4502,2021-07-05 11:16:22,2021-07-07 12:26:54,2021-07-07 09:27:18,2,371,2694,5,4,5,4,Staff were very friendly.,P003,3,300.00,Nyama Choma,"Grilled meat, typically goat or beef, seasoned with salt and spices.",50,150.00,300.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
371,[Business] Tamarind Haven,Patrick,Kiplagat,0727143026,739 Riverside Dr,Apt 16,36300,Mandera,Moiben,1,4502,2021-07-05 11:16:22,2021-07-07 12:26:54,2021-07-07 09:27:18,2,371,2694,5,4,5,4,Staff were very friendly.,P018,8,200.00,Mishkaki,"Skewered and grilled meat, typically beef or chicken.",70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
720,[Business] Ole Sereni Inn,Alaine,Omondi,0746165818,48 Jogoo Rd,Apt 46,35011,Mandera,Changamwe,1,4529,2023-07-15 09:18:07,2023-07-17 13:10:31,,3,720,5123,5,5,5,5,Excellent value for money.,P014,4,150.00,Mutura,"Kenyan sausage made from minced meat, blood, and spices.",60,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
308,[Business] Neptune Manor,Joseph,Ndayishimiye,0742673001,341 Gigiri Rd,Apt 81,9758,Kitui,Embakasi,0,4538,2022-07-23 04:49:24,2022-07-25 11:31:04,2022-07-27 06:00:06,1,308,2224,2,2,2,2,The steak was overcooked.,P018,2,200.00,Mishkaki,"Skewered and grilled meat, typically beef or chicken.",70,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
308,[Business] Neptune Manor,Joseph,Ndayishimiye,0742673001,341 Gigiri Rd,Apt 81,9758,Kitui,Embakasi,0,4538,2022-07-23 04:49:24,2022-07-25 11:31:04,2022-07-27 06:00:06,1,308,2224,2,2,2,2,The steak was overcooked.,P014,1,150.00,Mutura,"Kenyan sausage made from minced meat, blood, and spices.",60,70.00,150.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
141,[Business] Voyager Manor,Wanjiku,Adan,0798485919,752 Mama Ngina St,Apt 77,4358,Mombasa,Changamwe,1,4551,2021-01-11 10:25:28,2021-01-11 20:51:59,,1,141,1030,3,3,3,3,Lovely presentation of dishes.,P076,4,60.00,Misir Wat,Spicy lentil stew made with berbere spice mix.,90,30.00,60.00,11,African Cultural Specials,"Specialty dishes unique to African cultures, showcasing traditional recipes and flavors.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
141,[Business] Voyager Manor,Wanjiku,Adan,0798485919,752 Mama Ngina St,Apt 77,4358,Mombasa,Changamwe,1,4551,2021-01-11 10:25:28,2021-01-11 20:51:59,,1,141,1030,3,3,3,3,Lovely presentation of dishes.,P059,5,70.00,Matoke na Maharagwe,Plantains cooked with beans.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
141,[Business] Voyager Manor,Wanjiku,Adan,0798485919,752 Mama Ngina St,Apt 77,4358,Mombasa,Changamwe,1,4551,2021-01-11 10:25:28,2021-01-11 20:51:59,,1,141,1030,3,3,3,3,Lovely presentation of dishes.,P031,5,300.00,Fish Curry,Fish cooked in a spiced coconut milk curry.,50,150.00,300.00,7,Fish Dishes,"Dishes prepared using fish as the main ingredient, either fried, grilled, or cooked in stews.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
260,[Business] Hemingways Resort,Amina,Munyui,0742029521,640 Langata Rd,Apt 48,36847,Kitui,Naivasha,1,4565,2021-09-21 15:38:53,2021-09-24 17:04:21,2021-09-26 11:38:20,2,260,1883,1,1,1,1,No gluten-free options.,P016,6,300.00,Kuku Choma,"Grilled chicken, marinated with spices.",50,150.00,300.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
260,[Business] Hemingways Resort,Amina,Munyui,0742029521,640 Langata Rd,Apt 48,36847,Kitui,Naivasha,1,4565,2021-09-21 15:38:53,2021-09-24 17:04:21,2021-09-26 11:38:20,2,260,1883,1,1,1,1,No gluten-free options.,P027,6,200.00,Nyama Stew,"Beef stew cooked with potatoes, carrots, and peas.",60,100.00,200.00,3,Meat-Based Dishes,"Dishes made with different types of meat, such as beef, chicken, or goat.",2,Processing,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
693,Josephine Odhiambo,Josephine,Odhiambo,0790436107,313 Uhuru Hwy,Apt 20,12035,Muranga,Westlands,0,4577,2021-07-02 01:03:08,2021-07-05 17:00:38,2021-07-02 05:46:43,3,693,4956,2,2,2,2,Would not recommend.,P038,6,150.00,Supu ya Mbuzi,Goat soup cooked with spices.,60,70.00,150.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
693,Josephine Odhiambo,Josephine,Odhiambo,0790436107,313 Uhuru Hwy,Apt 20,12035,Muranga,Westlands,0,4577,2021-07-02 01:03:08,2021-07-05 17:00:38,2021-07-02 05:46:43,3,693,4956,2,2,2,2,Would not recommend.,P091,8,80.00,Bunny Chow,"A hollowed-out loaf of bread filled with curry, typically made with chicken, lamb, or beans.",70,40.00,80.00,10,Combination Plates,"Meals that combine multiple components, such as staples paired with vegetables, beans, or meat.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
710,Wambui Odhiambo,Wambui,Odhiambo,0745983776,409 Embakasi Rd,Apt 7,67175,Muranga,Nakuru Town,0,4601,2023-09-29 16:14:09,2023-10-04 12:39:47,2023-10-03 06:48:49,3,710,5047,1,1,1,1,Limited vegetarian options.,P002,2,20.00,Sukuma Wiki,Collard greens saut̩ed with onions and tomatoes.,100,10.00,20.00,2,Vegetable-Based Dishes,"Dishes that primarily consist of vegetables, often saut̩ed or cooked with spices.",3,In Transit,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
311,Amina Abdullahi,Amina,Abdullahi,0704292686,399 Eastleigh Rd,Apt 54,19417,Embu,Gilgil,1,4621,2025-01-16 14:04:56,2025-01-20 05:02:06,2025-01-20 07:26:23,1,311,2253,2,2,2,2,Perfect for families.,P035,1,70.00,Ndizi na Nyama,Green bananas cooked with meat and spices.,70,30.00,70.00,6,Soup/Stew Dishes,"Soups or stews made with a variety of ingredients, including meat, vegetables, or plantains.",1,Pending,8,0700000008,Sarit Centre,Karuna Rd,00100,Nairobi,Starehe
